"%s - Est. Delivery %s", "%s - Date de livraison prevue le %s"
"Unable to get registration token. Please Try again later.", "Impossible d'obtenir le bon d'inscription. Réessayez plus tard s'il vous plait."
"Your Canada Post Account Information has been updated.", "Les informations de votre compte Postes Canada ont été mis à jour."
"Your Canada Post Account signup was canceled or did not finish. Please contact them by phone to finish setup.", "Votre inscription au compte Postes Canada a été annulée ou interrompu. S'il vous plait communiquez avec eux par téléphone pour terminer l'installation."
"Manifest", "Registre des commandes"
"Create Manifest", "Créer un registre de commandes"
"View Manifest", "Voir Registre des commandes"
"Transmission Error", "Erreur de transmission"
"Shipment not found", "L'article est introuvable"
"Manifest can not be retreived", "Le registre des commandes ne peut pas être récupéré"
"Canada Post Shipment for shipment #%s has not been created", "L’expedition Postes Canada pour l’envoi #%s n'a pas été crée"
"Return has been sent successfully", "Votre article a été réexpédié avec succès"
"Return can not be sent", "Votre article ne peut pas être réexpédié"
"Label can not be retrieved", "L'étiquette ne peut pas être récupérée"
"Labels can not be retrieved", "Les étiquettes ne peuvent pas être récupérées"
"Print CP Manifest", "Imprimer le registre des commandes CP"
"Shipment #", "Envoi #"
"Is in Manifest", "Figure sur le registre des commandes"
"Date Shipped", "Date d'expédition"
"Order #", "Commande #"
"Order Date", "Date de commande"
"Ordered By", "Commandé par"
"Total Qty", "Quantité globale"
"Action", "Action"
"View", "Voir"
"CSV", "CSV"
"Excel XML", "Excel XML"
"Create Canada Post shipments", "Créer des envois Postes Canada"
"Add shipments to manifest", "Ajouter envois au registre des commandes"
"Remove shipments from manifest", "Retirer les envois au registre des commandes"
"Print Canada Post labels", "Imprimer des étiquettes Postes Canada"
"Create", "Créer"
"Registre des commandes identification #", "ID manifeste #"
"Date Created", "Date de création"
"Date Updated", "Date de mise à jour"
"Status", "Statut"
"URL", "URL"
"Transmit", "Transmettre"
"Warning: You will be billed for any shipments transmitted as part of the manifest(s). Once created a manifest cannot be cancelled.", "Attention: Vous serez facturé pour toutes les envois figurant sur le registre des commandes. Une fois crée un registre des commandes ne peut pas être annulé."
"PDF Packingslips", "Bordereaux d'emballages PDF"
"Print Shipping Labels", "Imprimer des étiquettes d'expédition"
"Print Canada Post Labels", "Imprimer des étiquettes de Postes Canada"
"Warning: You will be billed for any shipments you create. Once created a shipment cannot be cancelled.", "Attention: Vous serez facturé pour toutes les expeditions que vous créez. Une fois crée la commande ne peut pas être annulée."
"Print CP Label", "Imprimer l'étiquette CP"
"Send CP Return", "Envoyer Retour CP"
"Send Return Label", "Envoyer Retour l'étiquette"
"Cancel", "Annuler"
"Hold", "En attente"
"Unhold", "Traité"
"Print Invoices", "Imprimer les factures"
"Print Packingslips", "Imprimer bordereaux d'emballages"
"Print Credit Memos", "Imprimer notes de crédit"
"Print All", "Imprimer tout"
"Create Canada Post Shipments", "Créer envois de Postes Canada"
"Manifests", "Registre des commandes"
"Create New Manifest", "Créer nouveau registre des commandes"
"In Manifest", "Inclus dans le registre des commandes"
"kg", "kg"
"gram", "Gramme"
"lb", "lb"
"oz", "oz"
"Meter", "Mètre"
"Centimeter", "Centimètre"
"Milimeter", "Millimètre"
"Inch", "Pouce"
"Feet", "Pieds"
"Canada Post", "Postes Canada"
"Always", "Toujours"
"Optional", "Optionel"
"Never", "Jamais"
"Counter - will return the regular price paid by retail consumers", "Guichet - payera la difference sur le prix régulier payé par les consommateurs au détail"
"Commercial - will return the contracted price between Canada Post and the contract holder", "Commerce - payera la difference encourue entre Postes Canada et le titulaire du contrat"
"English", "Anglais"
"French", "Français"
"Regular Parcel", "Colis standard"
"Expedited Parcel", "Colis accélérés"
"Xpresspost", "Xpresspost"
"Priority", "Priorité"
"Library Books", "Livres de bibliothèque"
"Expedited Parcel USA", "Colis accéléré USA."
"Priority Worldwide Envelope USA", "Enveloppe Priorité Mondial USA"
"Priority Worldwide pak USA", "Priorité Mondial pak USA"
"Priority Worldwide Parcel USA", "Priorité Mondial colis USA"
"Small Packet USA Air", "Petit paquet par avion USA"
"Small Packet USA Surface", "Petit paquet par terre USA"
"Xpresspost USA", "Xpresspost USA"
"Xpresspost International", "Xpresspost International"
"International Parcel Air", "Colis international par avion"
"International Parcel Surface", "Colis international par terre"
"Priority Worldwide Envelope Int\äó»l", "Enveloppe Priorité Mondial Internationale"
"Priority Worldwide pak Int\äó»l", "pak Priorité Mondiale internationale"
"Priority Worldwide parcel Int\äó»l", "colis Priorité Mondiale internationale"
"Small Packet International Air", "Petit paquet international par avion"
"Small Packet International Surface", "Petit paquet international par terre"
"None", "Aucun"
"Require Signature", "Signature exigée"
"Include Coverage", "Inclure assurance"
"Card for Pick Up", "Bon pour ramassage"
"Do not Safe Drop", "Ne pas laisser en lieu sûr"
"Leave at Door (Do not card)", "Laisser à la porte (Ne pas carte)"
"Incl. Tax", "Taxes incluses"
"Deliver to Post Office", "Livrer au bureau de poste"
"Click to change shipping method", "Cliquez pour changer la méthode d'expédition"
""Sorry", "no quotes are available for this order at this time.""
"Get shipping methods and rates", "Obtenez les méthodes d'expéditions et les taux"
"Shipping method selection is not applicable", "Sélection de la méthode d'expédition n'est pas applicable"
"Subscribe to Order Status", "Abonnez-vous à suivi de commande"
"CP Return Label", "Étiquette de retour CP"
"Reorder", "Réorganiser"
"Print Order", "Imprimer la commande"
"Deliver to Post Office Near Postal Code:", "Livrez au bureau de poste à proximité du code postal svp:"
"Deliver to post office is only available to Canadian destinations", "L'option livrez au bureau de poste est valable uniquement pour l'intérieur du Canada"
"Shipment for order #", "Envoi for commande #"
"Return for order #", "Retour for commande #"
